queue_length,blocking_probability,rec_full_probability,seed
0.45812663367842876,0.3323396206394182,0.0,1000
0.3284851330726697,0.33405716864301827,0.0654793762647846,1001
0.36528789800707184,0.3381737550652583,0.014769976487459417,1002
0.3217231414898953,0.38603309693817855,0.02383614683178894,1003
0.25776695575198677,0.21360664455577386,0.0,1004
0.20982960360508185,0.38409747817990636,0.06913922420501012,1005
0.38680721414124125,0.3187349808586633,0.0,1006
0.6476107552382229,0.2576443280256708,0.026156917811345465,1007
0.3560188644142079,0.357461057081273,0.04367312774930224,1008
0.32994050416042503,0.35231144625633604,0.02806082922617429,1009
0.41600121372791954,0.23480320358807602,0.04478588792562823,1010
0.2622659729783513,0.3899603302180899,0.09105466667033352,1011
0.28647996829343936,0.25120270147966084,0.0007787142652753118,1012
0.3674015950778946,0.2796358021111631,0.0,1013
0.4226823146112681,0.20989830685236643,0.0,1014
0.2481554701339028,0.3918163801265605,0.029627470662267796,1015
0.2704406091430444,0.31434313091362176,0.00544794953445421,1016
0.41431748563071413,0.3050744367832001,0.0030086344517053477,1017
0.33840127716775126,0.27823912195686284,0.015212825709816344,1018
0.35628827743538066,0.2919483261212299,0.012154577467737454,1019
